City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,Mancio Lima,-7.6142,-72.8958,73.94,96,100,1.57,BR,2021-06-03 23:00:50
258,Sol-Iletsk,51.1631,54.9918,58.95,90,62,11.43,RU,2021-06-03 23:00:51
259,Najran,17.4924,44.1277,77.4,16,60,3.96,SA,2021-06-03 23:00:51
260,Murray Bridge,-35.1167,139.2667,55.49,83,60,9.51,AU,2021-06-03 23:00:52
261,Bandarbeyla,9.4942,50.8122,79.48,81,97,18.03,SO,2021-06-03 23:00:52
262,Springville,40.1652,-111.6107,95.02,23,14,1.16,US,2021-06-03 23:00:53
263,Bozuyuk,39.9078,30.0367,51.06,92,92,3.38,TR,2021-06-03 23:00:53
264,Tuatapere,-46.1333,167.6833,49.82,78,90,8.39,NZ,2021-06-03 23:00:54
265,Vagay,57.9375,69.0217,38.75,65,54,10.8,RU,2021-06-03 23:00:54
266,Faanui,-16.4833,-151.75,80.28,77,46,9.8,PF,2021-06-03 23:00:55
267,Waitati,-45.75,170.5667,51.8,71,96,2.46,NZ,2021-06-03 23:00:55
268,Ust-Uda,54.1742,103.0304,60.67,47,11,2.3,RU,2021-06-03 23:00:56
269,Solikamsk,59.6196,56.7729,37.33,71,0,4.74,RU,2021-06-03 23:00:56
270,Barabai,-2.5833,115.3833,73.76,89,5,1.3,ID,2021-06-03 23:00:30
271,Warri,5.5167,5.75,76.77,92,4,2.66,NG,2021-06-03 23:00:57
272,Burnie,-41.0667,145.9167,47.59,61,62,12.84,AU,2021-06-03 23:00:57
273,Moron,-34.6534,-58.6198,63.99,78,76,1.01,AR,2021-06-03 23:00:58
274,Mahibadhoo,3.7833,72.9667,83.05,70,99,17.54,MV,2021-06-03 23:00:59
275,Vila Velha,-20.3297,-40.2925,74.95,88,39,4.0,BR,2021-06-03 23:00:24
276,Guymon,36.6828,-101.4816,84.15,25,13,5.93,US,2021-06-03 22:56:34
277,Polunochnoye,60.8697,60.4153,35.06,71,0,2.86,RU,2021-06-03 23:00:59
278,Parrsboro,45.4001,-64.332,70.12,63,100,7.16,CA,2021-06-03 23:01:00
279,Buchanan,5.8808,-10.0467,80.42,83,97,6.42,LR,2021-06-03 23:01:00
280,Khatanga,71.9667,102.5,32.41,88,100,5.93,RU,2021-06-03 23:01:01
281,Ozernovskiy,51.5,156.5167,42.37,81,43,5.91,RU,2021-06-03 23:01:02
282,Tura,25.5198,90.2201,73.9,94,1,5.46,IN,2021-06-03 23:01:02
